,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL,Lyrics
0,Billionaire,Bruno Mars,Billionaire [Acoustic]w/ Travie McCoy,3:32,/lyric/28827198/Bruno+Mars/Billionaire+%5BAcoustic%5D,http://www.lyrics.com/lyric/28827198/Bruno+Mars/Billionaire+%5BAcoustic%5D,"I wanna be a billionaire so freakin' bad
Buy all of the things I never had
Uh, I wanna be on the cover of Forbes magazine Smiling next to Oprah and the Queen 

Oh every time I close my eyes
I see my name in shining lights
Yeah, a different city every night oh right 
I swear the world better prepare 
For when I'm a billionaire 

Yeah I would have a show like Oprah 
I would be the host of, everyday Christmas
Give Travie a wish list
I'd probably pull an Angelina and Brad Pitt
And adopt a bunch of babies that ain't never had shit
Give away a few Mercedes like here lady have this
And last but not least grant somebody their last wish
It's been a couple months that I've been single so
You can call me Travie Claus minus the Ho Ho
Get it, hehe, I'd probably visit where Katrina hit
And damn sure do a lot more than FEMA did
Yeah can't forget about me stupid  Everywhere I go Imma have my own theme music

Oh every time I close my eyes
I see my name in shining lights
A different city every night oh right 
I swear the world better prepare 
For when I'm a billionaire 
Oh ooh oh ooh for when I'm a billionaire 
Oh ooh oh ooh for when I'm a billionaire 

I'll be playing basketball with the President  Dunking on his delegates 
Then I'll compliment him on his political etiquette
Toss a couple milli in the air just for the heck of it
But keep the five, twenties tens and bens completely separate
And yeah I'll be in a whole new tax bracket 
We in recession but let me take a crack at it
I'll probably take whatever's left and just split it up
So everybody that I love can have a couple bucks
And not a single tummy around me would know what hungry was Eating good sleeping soundly
I know we all have a similar dream
Go in your pocket pull out your wallet 
And put it in the air and sing

I wanna be a billionaire so fuckin' bad
Buy all of the things I never had
Uh, I wanna be on the cover of Forbes magazine Smiling next to Oprah and the Queen 
Oh every time I close my eyes I see my name in shining lights
A different city every night all right 
I swear the world better prepare for when I'm a billionaire 
Oh ooh oh ooh for when I'm a billionaire 
Oh ooh oh ooh for when I'm a billionaire 

I wanna be a billionaire so fuckin' bad!"
1,Billionaire,Bruno Mars,Billionaire [Version]w/ Travie McCoy,3:32,/lyric/21994061/Bruno+Mars/Billionaire+%5BVersion%5D,http://www.lyrics.com/lyric/21994061/Bruno+Mars/Billionaire+%5BVersion%5D,"I wanna be a billionaire so fuckin' bad
Buy all of the things I never had
Uh, I wanna be on the cover of Forbes magazine Smiling next to Oprah and the Queen 
Oh every time I close my eyes
I see my name in shining lights
A different city every night oh right I swear the world better prepare For when I'm a billionaire 
Yeah I would have a show like Oprah I would be the host of, everyday Christmas
Give Travie a wish list
I'd probably pull an Angelina and Brad Pitt
And adopt a bunch of babies that ain't never had shit
Give away a few Mercedes like here lady have this
And last but not least grant somebody their last wish
It's been a couple months that I've been single so
You can call me Travie Claus minus the Ho Ho
Get it, hehe, I'd probably visit where Katrina hit
And damn sure do a lot more than FEMA did
Yeah can't forget about me stupid Everywhere I go Imma have my own theme music

Oh every time I close my eyes
I see my name in shining lights
A different city every night oh right I swear the world better prepare For when I'm a billionaire Oh ooh oh ooh for when I'm a billionaire Oh ooh oh ooh for when I'm a billionaire 
I'll be playing basketball with the President Dunking on his delegates Then I'll compliment him on his political etiquette
Toss a couple milli in the air just for the heck of it
But keep the five, twenties tens and bens completely separate
And yeah I'll be in a whole new tax bracket We in recession but let me take a crack at it
I'll probably take whatever's left and just split it up
So everybody that I love can have a couple bucks
And not a single tummy around me would know what hungry was Eating good sleeping soundly
I know we all have a similar dream
Go in your pocket pull out your wallet And put it in the air and sing

I wanna be a billionaire so fuckin' bad
Buy all of the things I never had
Uh, I wanna be on the cover of Forbes magazine Smiling next to Oprah and the Queen Oh every time I close my eyes I see my name in shining lights
A different city every night all right I swear the world better prepare for when I'm a billionaire I wanna be a billionaire so fuckin' bad

Oh every time I close my eyes
I see my name in shining lights
A different city every night oh
I swear the world better prepare For when I'm a billionaire 
I wanna be a billionaire so fuckin' bad!"
2,The Grenade Sessions,Bruno Mars,Grenade [Acoustic], ,/lyric/26378065/Bruno+Mars/Grenade+%5BAcoustic%5D,http://www.lyrics.com/lyric/26378065/Bruno+Mars/Grenade+%5BAcoustic%5D,"Easy come, easy go
That's just how you live, oh
Take, take, take it all
But you never give
Should've known you was trouble 
From the first kiss
Had your eyes wide open
Why were they open?

Gave you all I had
And you tossed it in the trash 
You tossed it in the trash, you did
To give me all your love is all I ever asked 
'Cause what you don't understand is

I'd catch a grenade for you (yeah, yeah, yeah) Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain 
Yes, I would die for you, baby
But you won't do the same

No, no, no, no

Black, black, black and blue
Beat me 'til I'm numb
Tell the devil I said ""Hey"" when you get back to where you're from
Mad woman, bad woman 
That's just what you are
Yeah, you'll smile in my face then rip the brakes out my car

Gave you all I had
And you tossed it in the trash 
You tossed it in the trash, yes you did
To give me all your love is all I ever asked 
'Cause what you don't understand is

I'd catch a grenade for you (yeah, yeah, yeah) Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain 
Yes, I would die for you, baby
But you won't do the same

If my body was on fire
Oh, you'd watch me burn down in flames 
You said you loved me, you're a liar
'Cause you never, ever, ever did, baby

But, darling, I'd still catch a grenade for you (yeah, yeah, yeah) Throw my hand on a blade for you (yeah, yeah, yeah)
I'd jump in front of a train for you (yeah, yeah, yeah)
You know I'd do anything for you (yeah, yeah, yeah)
Oh, I would go through all this pain
Take a bullet straight through my brain 
Yes, I would die for you, baby
But you won't do the same

No, you won't do the same
You wouldn't do the same
Oh, you'd never do the same
Oh, no no no, oh"
3,Doo Wops & Hooligans [Bonus Tracks] [2010],Bruno Mars,Somewhere in Brooklyn [*],3:03,/lyric/22923758/Bruno+Mars/Somewhere+in+Brooklyn+%5B%2A%5D,http://www.lyrics.com/lyric/22923758/Bruno+Mars/Somewhere+in+Brooklyn+%5B%2A%5D,"She was covered in leather and gold Twenty one years old
I lost her in the cold
It's unfair, she's out there 
Somewhere, somewhere, somewhere in Brooklyn She's somewhere, somewhere, somewhere in Brooklyn  Little miss perfect sitting at the train stop
Red Nike high tops listening to hip-hop While we were waiting started conversating Before I got her name along came a train 
(uh) next stop Brooklyn (uh) now I'm lookin'

She was covered in leather and gold Twenty one years old
I lost her in the cold
It's unfair, she's out there Somewhere, somewhere, somewhere in Brooklyn She's somewhere, somewhere, somewhere in Brooklyn 
On the street kickin' rocks circling the same block Green farm flat bush checking every corner shop
Tappin' people's shoulders askin' if they know her
Everyday's the same back to the train 
(uh) next stop Brooklyn (uh) I'm still lookin'

She was covered in leather and gold Twenty one years old
I lost her in the cold
It's unfair, she's out there Somewhere, somewhere, somewhere in Brooklyn She's somewhere, somewhere, somewhere in Brooklyn 
Oh-oh-oh-oh
I wonder if we'll ever meet again Oh-oh-oh-oh
I wonder we we'll ever meet again Yeah I wonder if we'll meet again I hope we do somewhere in Brooklyn"
4,Doo Wops & Hooligans [Bonus Tracks] [2010],Bruno Mars,Talking to the Moon [Acoustic Piano Version] [*][Version],3:38,/lyric/22923757/Bruno+Mars/Talking+to+the+Moon+%5BAcoustic+Piano+Version%5D+%5B%2A%5D%5BVersion%5D,http://www.lyrics.com/lyric/22923757/Bruno+Mars/Talking+to+the+Moon+%5BAcoustic+Piano+Version%5D+%5B%2A%5D%5BVersion%5D,"I know you're somewhere out there Somewhere far away
I want you back
I want you back
My neighbors think
I'm crazy But they don't understand You're all I have
You're all I have

At night when the stars light up my room
I sit by myself Talking to the Moon
Try to get to You
In hopes you're on
the other side Talking to me too
Or am I a fool
who sits alone Talking to the moon

I'm feeling like I'm famous The talk of the town
They say
I've gone mad
Yeah
I've gone mad
But they don't know
what I know
 Cause when the
sun goes down
someone's talking back
Yeah
They're talking back

At night when the stars light up my room
I sit by myself Talking to the Moon
Try to get to You
In hopes you're on
the other side Talking to me too
Or am I a fool
who sits alone Talking to the moon

Do you ever hear me calling? Cause every night I'm talking to the moon Still trying to get to you

In hopes you're on
the other side Talking to me too
Or am I a fool
who sits alone Talking to the moon

I know you're somewhere out there Somewhere far away"
5,Doo-Wops & Hooligans [2010],Bruno Mars,Count on Me,3:17,/lyric/21957679/Bruno+Mars/Count+on+Me,http://www.lyrics.com/lyric/21957679/Bruno+Mars/Count+on+Me,"If you ever find yourself stuck in the middle of the sea,
I'll sail the world to find you
If you ever find yourself lost in the dark and you can't see,
I'll be the light to guide you

Find out what we're made of
When we are called to help our friends in need

You can count on me like one two three 
I'll be there 
And I know when I need it I can count on you like four three two
You'll be there 
'Cause that's what friends are supposed to do, oh yeah

Whoa, whoa
Oh, oh
Yeah, yeah

If you tossin' and you're turnin' and you just can't fall asleep 
I'll sing a song Beside you
And if you ever forget how much you really mean to me Everyday I will Remind you

Ooh
Find out what we're made of
When we are called to help our friends in need

You can count on me like one two three 
I'll be there 
And I know when I need it I can count on you like four three two
You'll be there 
'Cause that's what friends are supposed to do, oh yeah

Oh, oh
Yeah, yeah

You'll always have my shoulder when you cry
I'll never let go Never say goodbye 
You know you can
 Count on me like one two three 
I'll be there 
And I know when I need it I can count on you like four three two
And you'll be there 
'Cause that's what friends are supposed to do, oh yeah

Oh, oh
You can count on me 'cause I can count on you"
6,Doo-Wops & Hooligans [2010],Bruno Mars,Grenade,3:42,/lyric/21957687/Bruno+Mars/Grenade,http://www.lyrics.com/lyric/21957687/Bruno+Mars/Grenade,"Easy come, easy go, that's just how you live oh
Take, take, take it all, but you never give Should have known you was trouble from the first kiss
Had your eyes wide open
Why were they open?

Gave you all I had and you tossed it in the trash 
You tossed it in the trash, you did
To give me all your love is all I ever asked 'cause
What you don't understand is I'd catch a grenade for ya (yeah, yeah) Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh, I would go through all this pain
Take a bullet straight through my brain 
Yes, I would die for ya baby
But you won't do the same

No, no, no, no
Black, black, black and blue
Beat me 'til I'm numb
Tell the devil I said 'hey' when you get back to where you're from
Mad woman, bad woman 
That's just what you are
Yeah you'll smile in my face then rip the brakes out my car

Gave you all I had and you tossed it in the trash 
You tossed it in the trash, yes you did
To give me all your love is all I ever asked 
'Cause what you don't understand is

I'd catch a grenade for ya (yeah, yeah) Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh, I would go through all this pain
Take a bullet straight through my brain 
Yes, I would die for ya baby
But you won't do the same

If my body was on fire
Oh you'd watch me burn down in flames 
You said you loved me you're a liar 'cause you never 
Ever, ever did baby

But darling I'll still catch a grenade for ya (yeah, yeah) Throw my head on a blade for ya (yeah, yeah)
I'd jump in front of a train for ya (yeah, yeah)
You know I'd do anything for ya (yeah, yeah)

Oh oh I would go through all this pain
Take a bullet straight through my brain 
Yes, I would die for ya baby
But you won't do the same
No, you won't do the same
You wouldn't do the same
Oh, you'll never do the same
No, no, no, no"
7,Doo-Wops & Hooligans [2010],Bruno Mars,Just the Way You Are,3:40,/lyric/21957686/Bruno+Mars/Just+the+Way+You+Are,http://www.lyrics.com/lyric/21957686/Bruno+Mars/Just+the+Way+You+Are,"Oh, her eyes, her eyes make the stars look like they're not shinin'
Her hair, her hair falls perfectly without her trying 
She's so beautiful and I tell her everyday 
Yeah, I know, I know when I compliment her she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me ""Do I look okay?""
I say

When I see your face
There's not a thing that I would change 'cause you're amazing 
Just the way you are
And when you smile 
The whole world stops and stares for a while 
'Cause girl you're amazing 
Just the way you are
Yeah

Her lips, her lips, I could kiss them all day if she'd let me
Her laugh, her laugh she hates but I think it's so sexy
She's so beautiful, and I tell her everyday 

Oh you know, you know, you know I'd never ask you to change 
If perfect's what you're searching for then just stay the same
So don't even bother asking if you look okay, you know I'll say

When I see your face
There's not a thing that I would change
'Cause you're amazing 
Just the way you are
And when you smile 
The whole world stops and stares for a while 
'Cause, girl, you're amazing 
Just the way you are

The way you are
The way you are
Girl, you're amazing 
Just the way you are

When I see your face
There's not a thing that I would change
'Cause you're amazing 
Just the way you are
And when you smile 
The whole world stops and stares for a while 
'Cause, girl, you're amazing 
Just the way you are

Yeah"
8,Doo-Wops & Hooligans [2010],Bruno Mars,The Lazy Song,3:15,/lyric/21957683/Bruno+Mars/The+Lazy+Song,http://www.lyrics.com/lyric/21957683/Bruno+Mars/The+Lazy+Song,"Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone 
So leave a message at the tone
'Cause today I swear I'm not doing anything

Uh I'm gonna kick my feet up and stare at the fan
Turn the t.v. on Throw my hand in my pants 
Nobody's gon' tell me I cant, no

I'll be loungin' on the couch just chillin' in my snuggie 
Flip to MTV so they can teach me how to Dougie 
'Cause in my castle I'm the freakin' man
Oh

Yes I said it
I said it
I said it 'cause I can
 Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone 
So leave a message at the tone
'Cause today I swear I'm not doing anything
 Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh
 Tomorrow I'll wake up do some p90x
Meet a really nice girl have some really nice sex
And she's gonna scream out this is great 

I might mess around and get my college degree
I bet my old man will be so proud of me
But sorry pops you'll just have to wait
Oh

Yes I said it
I said it
I said it 'cause I can
 Today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone 
So leave a message at the tone
'Cause today I swear I'm not doing anything

No I ain't gonna comb my hair
'Cause I ain't goin' anywhere 
No no no no no no no no no oh
I'll just strut in my birthday suit
And let everything hang loose 
Yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah

Oh, today I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone 
So leave a message at the tone
'Cause today I swear I'm not doing anything
 Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh Nothing at all
Ooh hoo ooh hoo
Hoo ooh ooh Nothing at all"
9,Doo-Wops & Hooligans [2010],Bruno Mars,Liquor Store Bluesw/ Damian Marley,3:49,/lyric/21957680/Damian+Marley/Liquor+Store+Blues,http://www.lyrics.com/lyric/21957680/Damian+Marley/Liquor+Store+Blues,"Now greetings to the world 
 Standing at this liquor store Whiskey coming through my pores  Feeling like I run this whole block Lotto tickets cheap beer
That's why you can catch me here Tryna scratch my way up to the top

'Cause my job got me going nowhere
So I ain't got a thing to lose
Take me to a place where I don't care
This is me and my liquor store blues 

I'll take one shot for my pain
One drag for my sorrow 
Get messed up today 
I'll be ok tomorrow 
One shot for my pain
One drag for my sorrow 
Get messed up today 
I'll be ok tomorrow 

Me and my guitar tonight Singing to the city lights  Tryna live on more than what I got
'Cause '68 cents ain't gonna pay the rent
So I'll be out here 'til they call the cops

'Cause my job got me going nowhere
So I ain't got a thing to lose
Take me to a place where I don't care
This is me and my liquor store blues 

I'll take one shot for my pain
One drag for my sorrow 
Get messed up today 
I'll be ok tomorrow 
One shot for my pain
One drag for my sorrow 
Get messed up today 
I'll be ok tomorrow 

Here comes Junior Gong, I'm flying high like Superman 
And thinking that I run the whole block
I don't know if it's just because pineapple kush between my jaws
Has got me feeling like I'm on top

Give me this one shot for my pain
One drag for my sorrow 
Get messed up today 
I'll be ok tomorrow 
One shot for my pain
One drag for my sorrow 
Get messed up today 
I'll be ok tomorrow 

Now greetings to the world 

You best believe"
10,Doo-Wops & Hooligans [2010],Bruno Mars,Marry You,3:50,/lyric/21957682/Bruno+Mars/Marry+You,http://www.lyrics.com/lyric/21957682/Bruno+Mars/Marry+You,"It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice
Who cares baby, I think I wanna marry you

Well I know this little chapel on the boulevard 
We can go
No one will know
Oh c'mon girl

Who cares if we're trashed 
Got a pocket full of cash we can blow Shots of Patron 
And it's on girl

Don't say no no no no no
Just say yeah yeah yeah yeah yeah
And we'll go go go go go
If you're ready, like I'm ready 

'Cause it's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes or is it this dancing juice
Who cares baby, I think I wanna marry you

Oh
I'll go get a ring
Let the choir bell sing like ooh
So what you wanna do
Lets just run girl
If we wake up and you want to break up
That's cool
No I won't blame you
It was fun girl

Don't say no no no no no
Just say yeah yeah yeah yeah yeah
And we'll go go go go go
If you're ready, like I'm ready 

'Cause it's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice
Who cares baby, I think I wanna marry you

Just say I do
Tell me right now baby
Tell me right now baby, baby
Just say I do
Tell me right now baby
Tell me right now baby, baby

Oh
It's a beautiful night, we're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice
Who cares baby, I think I wanna marry you"
11,Doo-Wops & Hooligans [2010],Bruno Mars,"The Other Sidew/ Cee Lo Green, B.O.B., B.o.B",3:47,/lyric/21957678/Cee+Lo+Green/The+Other+Side,http://www.lyrics.com/lyric/21957678/Cee+Lo+Green/The+Other+Side,"Truth of the matter is I'm complicated 
You're as straight as they come
You go 'bout your day baby While I hide from the sun

It's better if you don't understand 
'Cause you won't know what it's like Until you try

You know I, I'll be waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole life time
But you just gotta decide
You know I, I'll be waiting on the other, Waiting on the other side

We would live forever 
Who could ask for more
You could die if you wanted 
But baby what for

It's better if you don't understand 
And you won't know what it's like Until you try

You know I, I'll be waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole life time
But you just gotta decide
You know I, I'll be waiting on the other, Waiting on the other side

If they say life's a dream 
Call this insomnia 
'Cause this ain't Wonderland 
It damn sure ain't Narnia 
And once you cross the line
You can't change your mind
Yeah I'm a monster 
But I'm no Frankenstein 
And quite frankly
I've been feeling insane in between my eyes
I really can't explain what I feel inside 
If you knew what I was you'd run and hide
Many have tried to go into the night  Cross over the line and come back alive 
But that's the price we pay when we living on the other side

You know I, I'll be waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole life time
But you just gotta decide
You know I, I'll be waiting on the other, Waiting on the other side

It's better if you don't understand 
It's better if you don't understand 
It's better if you don't understand 
It's better if you don't understand 
It's better if you don't understand 
It's better if you don't understand"
12,Doo-Wops & Hooligans [2010],Bruno Mars,Our First Time,4:03,/lyric/21957685/Bruno+Mars/Our+First+Time,http://www.lyrics.com/lyric/21957685/Bruno+Mars/Our+First+Time,"Don't it feel good babe, don't it feel good babe
'Cause it's so brand new babe, it's so brand new babe

Don't it feel good babe, don't it feel good babe
'Cause it's so brand new babe, it's so brand new babe

And then here we are (here we are), in this big old empty room Staring at each other, who's gonna make the first move?
Been doing our thing for a minute, and now both our hearts are in it
The only place to go is all the way

Oh babe, Is that alright? Is that okay?
Girl no need to be nervous,
'Cause I got you all night, don't you worry about a thing no, no, no,
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
 Clothes are not required, for what we got planned 
Ooh, girl your my desire, your wish is my command  Treat you like a princess, ooh girl your so delicious 
Like ice cream on a sunny day, gonna eat you before you melt away, yeah

Oh babe, Is that alright? Is that okay?
Girl no need to be nervous, no, no, no,
'Cause I got you all night, don't you worry about a thing no, no, no,
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time

Don't it feel good babe, don't it feel good babe
'Cause it's so brand new babe, it's so brand new babe

Don't it feel good babe, don't it feel good babe
'Cause it's so brand new babe, it's so brand new babe

Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time"
